8926635;PRJNA562529;SRR10041800
8124280;PRJNA549032;SRR9306666
8536204;PRJNA547860;SRR9680589
7752091;PRJNA540190;SRR8983330
7818462;PRJNA542111;SRR9040284
8716738;PRJNA556441;SRR9854968
8912961;PRJNA562087;SRR10033063
8775115;PRJNA553505;SRR9901837
8977322;PRJNA564442;SRR10083479
8106397;PRJNA547591;SRR9293140
11562923;PRJNA616757;SRR12396714
8517794;PRJNA552855;SRR9667640
8761569;PRJNA553505;SRR9888526
8150497;PRJNA549459;SRR9329823
8977925;PRJNA564462;SRR10083985
7886762;PRJNA542627;SRR9098975
8435710;PRJNA545251;SRR9607122
5412147;PRJNA450618;SRR7015960
9015797;PRJNA565518;SRR10120525
8747420;PRJNA557827;SRR9879363
8834561;PRJNA558558;SRR9955160
9015806;PRJNA565518;SRR10120516
9039203;PRJNA539027;SRR10140530
7795635;PRJNA541222;SRR9021054
8449137;PRJNA552082;SRR9617157
8009997;PRJNA545410;SRR9203178
7752092;PRJNA540190;SRR8983329
5355189;PRJNA444976;SRR6958483
7818455;PRJNA542111;SRR9040291
5605415;PRJNA453965;SRR7212572
7793185;PRJNA541010;SRR9018555
7752100;PRJNA540190;SRR8983321
9080169;PRJNA561193;SRR10179347
8506299;PRJNA550260;SRR9660715
8959591;PRJNA548041;SRR10067895
9947774;PRJNA567482;SRR10953345
8519487;PRJNA553023;SRR9669406
8493089;PRJNA552945;SRR9648594
8747425;PRJNA557827;SRR9879358
8449134;PRJNA552082;SRR9617160
8449142;PRJNA552082;SRR9617152
8154695;PRJNA549353;SRR9333987
8010004;PRJNA545410;SRR9203171
8536202;PRJNA547860;SRR9680591
8419333;PRJNA550441;SRR9593835
8545981;PRJNA554501;SRR9690631
8983781;PRJNA563204;SRR10089983
8724945;PRJNA540760;SRR9860542
9648075;PRJNA562498;SRR10687597
8554825;PRJNA552585;SRR9700136
9888479;PRJNA557323;SRR10901569
8154706;PRJNA549353;SRR9333976
7886753;PRJNA542627;SRR9098984
8912952;PRJNA562087;SRR10033072
9403082;PRJNA564215;SRR10466879
7860264;PRJNA540094;SRR9074928
8720588;PRJNA557310;SRR9859010
8977920;PRJNA564462;SRR10083990
8977911;PRJNA564462;SRR10083999
9962823;PRJNA566856;SRR10967730
7984625;PRJNA545795;SRR9177011
8730002;PRJNA557331;SRR9865870
8567180;PRJNA539501;SRR9710542
7793183;PRJNA541010;SRR9018557
7905112;PRJNA543861;SRR9111863
9015802;PRJNA565518;SRR10120520
8716743;PRJNA556441;SRR9854963
9039207;PRJNA539028;SRR10140534
8730004;PRJNA557331;SRR9865868
8089239;PRJNA548424;SRR9276617
8569336;PRJNA539178;SRR9711254
8449136;PRJNA552082;SRR9617158
8554833;PRJNA552585;SRR9700128
8039098;PRJNA544938;SRR9226069
8493100;PRJNA552945;SRR9648583
8493091;PRJNA552945;SRR9648592
8937963;PRJNA563008;SRR10054268
8977927;PRJNA564462;SRR10083983
8132202;PRJNA542494;SRR9313414
8510811;PRJNA539376;SRR9665371
9648069;PRJNA562498;SRR10687603
8716740;PRJNA556441;SRR9854966
9034848;PRJNA539012;SRR10136068
