10078716;PRJNA567609;SRR11069761
10079387;PRJNA567020;SRR11070432
10086284;PRJNA566924;SRR11076227
10528116;PRJNA544320;SRR11513790
10528118;PRJNA544320;SRR11513788
10528120;PRJNA544320;SRR11513786
10528125;PRJNA544320;SRR11513781
10551357;PRJNA548861;SRR11530719
10551362;PRJNA548861;SRR11530714
10551364;PRJNA548861;SRR11530712
10551365;PRJNA548861;SRR11530711
10917673;PRJNA547686;SRR11848382
10917676;PRJNA547686;SRR11848379
10917678;PRJNA547686;SRR11848377
10917683;PRJNA547686;SRR11848372
10917684;PRJNA547686;SRR11848371
11521461;PRJNA616723;SRR12363480
11521462;PRJNA616724;SRR12363481
11521465;PRJNA616726;SRR12363484
11521731;PRJNA616889;SRR12363750
11521737;PRJNA616892;SRR12363744
11521743;PRJNA616887;SRR12363738
11521745;PRJNA616890;SRR12363736
11521746;PRJNA616885;SRR12363735
11521748;PRJNA616884;SRR12363733
11521749;PRJNA616883;SRR12363732
11521797;PRJNA616931;SRR12363869
11521805;PRJNA616934;SRR12363861
11555769;PRJNA616741;SRR12391687
11555935;PRJNA616742;SRR12391864
11562833;PRJNA616746;SRR12396624
11562906;PRJNA616747;SRR12396697
11562912;PRJNA616749;SRR12396703
11562924;PRJNA616762;SRR12396715
11562925;PRJNA616761;SRR12396716
11562928;PRJNA616768;SRR12396719
11562947;PRJNA616778;SRR12396738
11563019;PRJNA616784;SRR12396810
11576068;PRJNA616701;SRR12411064
279982;PRJNA182269;SRR620527
30867;PRJNA51951;SRR065707
30868;PRJNA51951;SRR065708
333762;PRJNA189999;SRR747868
5355178;PRJNA444975;SRR6958472
5361648;PRJNA444916;SRR6962693
5410302;PRJNA450540;SRR7013963
5410307;PRJNA450540;SRR7013958
5410309;PRJNA450540;SRR7013956
5410316;PRJNA450540;SRR7013949
5410317;PRJNA450540;SRR7013948
5411173;PRJNA450126;SRR7014898
5411177;PRJNA450115;SRR7014894
5411180;PRJNA450123;SRR7014891
5411188;PRJNA450124;SRR7014883
5412139;PRJNA450618;SRR7015968
5412141;PRJNA450618;SRR7015966
5412143;PRJNA450618;SRR7015964
5412148;PRJNA450618;SRR7015959
5412154;PRJNA450618;SRR7015953
5427066;PRJNA444890;SRR7028531
5429269;PRJNA444893;SRR7030503
5429883;PRJNA444897;SRR7031253
5429884;PRJNA444896;SRR7031254
5429887;PRJNA444901;SRR7031257
5429917;PRJNA444900;SRR7031287
5430127;PRJNA444906;SRR7031497
5430871;PRJNA444905;SRR7032241
5449233;PRJNA450594;SRR7051139
5449240;PRJNA450594;SRR7051132
5449247;PRJNA450594;SRR7051125
5449248;PRJNA450594;SRR7051124
5449251;PRJNA450594;SRR7051121
5449252;PRJNA450594;SRR7051120
5453468;PRJNA451377;SRR7054599
5453472;PRJNA451377;SRR7054595
5453473;PRJNA451377;SRR7054594
5453475;PRJNA451377;SRR7054592
5453477;PRJNA451377;SRR7054590
5453478;PRJNA451377;SRR7054589
5453486;PRJNA451377;SRR7054581
5453668;PRJNA450709;SRR7054816
5453720;PRJNA450709;SRR7054764
5453737;PRJNA450709;SRR7054747
5453743;PRJNA450709;SRR7054741
5453761;PRJNA450709;SRR7054723
5453773;PRJNA450709;SRR7054711
5453789;PRJNA450709;SRR7054695
5468649;PRJNA453158;SRR7067585
5468653;PRJNA453158;SRR7067581
5468654;PRJNA453158;SRR7067580
5468656;PRJNA453158;SRR7067578
5468662;PRJNA453158;SRR7067572
5468666;PRJNA453158;SRR7067568
5482253;PRJNA451372;SRR7080758
5482258;PRJNA451372;SRR7080753
5485460;PRJNA450612;SRR7083319
5486050;PRJNA454289;SRR7083960
5486052;PRJNA454289;SRR7083958
5486058;PRJNA454289;SRR7083952
5486062;PRJNA454289;SRR7083948
5486063;PRJNA454289;SRR7083947
5491170;PRJNA451226;SRR7087835
5491171;PRJNA451226;SRR7087834
5491179;PRJNA451226;SRR7087826
5491184;PRJNA451226;SRR7087821
5491186;PRJNA451226;SRR7087819
5491187;PRJNA451226;SRR7087818
5514860;PRJNA453459;SRR7110403
5568448;PRJNA450884;SRR7164733
5588949;PRJNA450295;SRR7186476
