9949760;PRJNA567586;SRR10955137
5482250;PRJNA451372;SRR7080761
5457468;PRJNA450524;SRR7058513
8755593;PRJNA556782;SRR9887633
9050533;PRJNA566436;SRR10153513
10551361;PRJNA548861;SRR11530715
7819636;PRJNA542187;SRR9041470
9960927;PRJNA567258;SRR10965834
8516158;PRJNA539386;SRR9665733
8516176;PRJNA539387;SRR9665751
11521472;PRJNA616732;SRR12363491
8021279;PRJNA547686;SRR9214260
8577808;PRJNA554313;SRR9719193
9837224;PRJNA564726;SRR10855744
7770844;PRJNA540508;SRR9001243
7803797;PRJNA541485;SRR9029131
8132212;PRJNA542494;SRR9313404
7941604;PRJNA545043;SRR9140272
7777042;PRJNA538241;SRR9005083
8508334;PRJNA539352;SRR9662894
5486049;PRJNA454289;SRR7083961
5468659;PRJNA453158;SRR7067575
8510096;PRJNA553023;SRR9664654
5486055;PRJNA454289;SRR7083955
9403081;PRJNA564215;SRR10466880
9962799;PRJNA566836;SRR10967706
8747416;PRJNA557827;SRR9879367
11562932;PRJNA616770;SRR12396723
7819638;PRJNA542187;SRR9041468
8755747;PRJNA558209;SRR9887794
9030199;PRJNA539209;SRR10133194
9963010;PRJNA566905;SRR10967917
8718586;PRJNA557254;SRR9856992
9962837;PRJNA566879;SRR10967744
8554835;PRJNA552585;SRR9700126
9962804;PRJNA566839;SRR10967711
9032222;PRJNA539005;SRR10135500
11521715;PRJNA616880;SRR12363766
8834560;PRJNA558558;SRR9955161
9050523;PRJNA566436;SRR10153503
5468648;PRJNA453158;SRR7067586
10528126;PRJNA544320;SRR11513780
9105362;PRJNA544407;SRR10202438
8449130;PRJNA552082;SRR9617164
9032461;PRJNA538956;SRR10135739
9963202;PRJNA566775;SRR10968063
5625123;PRJNA551379;SRR7232445
8747683;PRJNA557830;SRR9879653
9962777;PRJNA566540;SRR10967684
8508787;PRJNA553620;SRR9663176
9963277;PRJNA566910;SRR10968138
7725791;PRJNA535526;SRR8958143
7992901;PRJNA545958;SRR9184849
7992900;PRJNA545958;SRR9184850
9837219;PRJNA564726;SRR10855749
9947801;PRJNA567488;SRR10953318
8507217;PRJNA539345;SRR9661777
7930199;PRJNA544877;SRR9130388
7821343;PRJNA539129;SRR9043750
9039206;PRJNA539025;SRR10140533
8523678;PRJNA539251;SRR9673075
10528124;PRJNA544320;SRR11513782
8801432;PRJNA558849;SRR9924855
9949818;PRJNA567606;SRR10955195
10917681;PRJNA547686;SRR11848374
7806819;PRJNA539716;SRR9032267
8449129;PRJNA552082;SRR9617165
9962797;PRJNA566831;SRR10967704
7818461;PRJNA542111;SRR9040285
9962968;PRJNA566894;SRR10967875
8569286;PRJNA539177;SRR9711204
5588946;PRJNA450295;SRR7186479
9901935;PRJNA567439;SRR10915539
7805437;PRJNA537857;SRR9030886
8493095;PRJNA552945;SRR9648588
7761840;PRJNA540351;SRR8993051
9949777;PRJNA567601;SRR10955154
8714559;PRJNA556302;SRR9852171
