Illumina;illumina miseq sequencing;illumina;illumina sequencing;;;;;;;;;;
Minion;minion sequencing;;;;;;;;;;;;
PacBio;pacbio_smrt;;;;;;;;;;;;
Ion_Torrent;ion_torrent;;;;;;;;;;;;
454;ls454;pyrosequencing;;;;;;;;;;;
Abi_Solid;abi_solid;;;;;;;;;;;;
Nanopore;oxford_nanopore;;;;;;;;;;;;
Sanger;sanger;;;;;;;;;;;;
